munid,eblup_income,eblupROR_rate,eblupROR_gap,eblupROR_severity
907,966881.38,1,.57053453,.36260492
908,1366487.5,.83819169,.47748432,.32070422
909,1109519,.88107717,.53787553,.39578277
1101,1398077,.83835381,.48486423,.32179734
1102,1452952.4,.77777779,.41467473,.24593826
1103,1856771.8,.75583911,.37402025,.2335594
1104,1282797.4,.90486407,.45774096,.29874605
1105,1962509.4,.68231136,.35982579,.23443523
1106,1311780.9,.88574237,.44193798,.28155634
1107,1882659.5,.71428573,.37494135,.24784619
1108,1529202,.82662892,.45093733,.28449261
1109,1173260.4,.86341417,.50402862,.33904853
1110,3148036.3,.1775232,.0436524,.014109874
1111,1491686.8,.79546213,.40404233,.25246519
1112,2460113.5,.67224497,.21206962,.092862889
1113,1436195.9,.85714287,.3640863,.24552169
1114,1581621.6,.7621302,.42984509,.2999934
1115,1432918.8,.85714287,.52389842,.3412374
1116,1633958.5,.80536574,.40337497,.25116917
1117,2383569,.67468345,.34143016,.1901833
1118,1783737.1,.79875225,.41314828,.26741749
1119,1474961.1,1,.34163573,.14062575
1120,1296582.1,1,.42275098,.21926571
1121,992722,.88177383,.48039666,.31091708
1122,1576600.5,.85644114,.41042504,.23290361
1123,1753003.6,.79319972,.40212071,.26014361
1124,1199727.9,.89300305,.55154246,.40613803
1125,1168125,.85255313,.52207315,.34192717
1201,2363751.3,.62521499,.33752608,.21831173
1202,3169505,.49015984,.25806564,.16421707
1203,2404612,.64587647,.41105935,.29180604
1204,1887907,.81142151,.32453641,.17349854
1205,2676939.8,.55112916,.32364973,.22384788
1206,2496593.8,.58201736,.36408159,.27455828
1207,2989985,.4508394,.2324906,.14599925
1208,3124289.8,.48701289,.20369434,.099444292
1209,3049827.5,.52058899,.24554783,.14904363
1210,2529555.8,.69518644,.36370811,.22840104
1211,2853731.3,.54162037,.31821918,.23181802
1212,2825160.5,.60838902,.27344772,.1633181
1213,3094323,.47509956,.2606979,.17979591
1214,2266311.8,.7360996,.34956357,.21487106
1215,2531476.3,.60239965,.28496313,.17408539
1301,719025.88,1,.67905533,.49882099
1302,1507327.5,.84958261,.50663155,.36312026
1303,1915815.9,.76860458,.47491771,.34192228
1304,995674.5,.89999998,.57707113,.39691314
1305,1469805.6,.82099402,.47691703,.32606718
1306,,,,
1307,,,,
1308,,,,
1401,1788203.3,.81125098,.42691004,.25852114
1402,2547260.3,.57652956,.25666544,.14844224
1403,2668117.8,.52055418,.17248648,.056731995
1404,2220793.5,.5663296,.35003704,.25685155
1405,1315429.3,.85088801,.5410921,.37885788
1406,2385067.3,.58576602,.30094102,.19346218
1407,1560243.3,.7054733,.44394514,.3027522
1408,1546327,.78945982,.51528817,.37404111
1409,2223069,.55498135,.23780003,.11027218
1410,1412615.3,.86064196,.57084894,.42222321
1411,1725337.4,.89932698,.56853342,.40281707
1412,2934726.8,.51724559,.26910385,.17628859
1413,3990462.5,.22057939,.074399777,.031878002
1414,2027884.6,.65723413,.35405666,.23748326
1415,1325861.4,1,.40818796,.16661741
1416,1564460.6,.73477978,.47683379,.35403582
1417,1750653.6,.69874156,.47586203,.34141961
1418,1573461.6,.7715438,.48167631,.32626763
1419,2219151.8,.61426622,.31558737,.19680701
1420,1864642.8,.67548943,.4019025,.29003921
1421,1589942.3,1,.29031271,.084281467
1422,1611172.4,.83085805,.4918623,.33930889
1423,2400607.3,.65546125,.2929886,.15182585
1501,1126723,.88551742,.53239518,.41234282
1502,633610.88,.96484911,.67564625,.49804419
1503,1265376,.80804241,.48513541,.34692964
1504,1049219.6,.89580262,.58655447,.42714745
1505,849086.94,.961483,.68025112,.51591337
1506,1989969.4,.65634507,.36565813,.23932558
1507,3210118.5,0,0,0
1508,1395369.1,.84408146,.46217579,.31188411
1509,1949828.1,.77777779,.48949558,.32201982
1510,1165774.9,.85817152,.56261843,.40942279
1511,1099687.3,.82634944,.5749504,.43153229
1512,1260790.9,.85519004,.561719,.41139498
1513,939538.81,.89999998,.63258219,.45505586
1514,761004.38,.96592677,.64531195,.4663856
1515,914801.06,1,.59166902,.41842782
1516,982329.06,1,.56152719,.36882976
1517,1593226.6,.78957081,.51941496,.38385725
1518,1202349.3,.89251709,.59708583,.4399592
1519,1500777,.79535013,.45319167,.32406983
1520,1470536.5,.80000001,.39424741,.20653339
1521,1073790,.89999998,.59929156,.44976577
1601,874992.94,.89999998,.65129018,.49909088
1602,1821374.3,.66666669,.30542964,.16852044
1603,1209507.1,.91386014,.53251445,.34983042
1604,769656.75,1,.65617079,.47302926
1605,1462505.9,.81505823,.52637881,.37944648
1606,926513.56,.94852513,.59664387,.40980667
1607,1121960,.90154427,.57886755,.42401078
1608,1417131,.84295428,.53862011,.39021799
1609,994174.88,.8691355,.60182947,.45791885
1610,1170160,.86606997,.56578285,.40599158
1611,1586173.9,.74662977,.35566252,.21456715
1612,633994.94,.89508224,.71832347,.57355946
1613,885025.88,.95918065,.58079517,.40236542
1701,1763861.5,.70349276,.41857174,.28636804
1702,2618175.5,.59626746,.31123304,.19948971
1703,1532444.5,.81737518,.46832645,.31174684
1704,2423000,.63560611,.3333824,.21244039
1705,1616736,.76248157,.40489137,.26781777
1706,3005373,.42365608,.19642049,.1283299
1707,1484504.6,.82303631,.48387769,.31924757
1708,2616903.5,.60933626,.29649961,.17882353
1709,1719778.9,.75947279,.43712094,.2946969
1710,1832547.1,.73221654,.38048899,.24184991
1711,1945670.3,.79028857,.43148601,.26532498
1801,1690516.8,.74707586,.42154664,.27388108
1802,1429264.8,.8202576,.47414547,.32316816
1803,1284363.5,.80444998,.4808991,.3273288
1804,1508791,.80498195,.47326231,.31999728
1805,800000,1,.64291167,.41333541
1806,1183672,.83333331,.52104604,.35337606
1807,755591.06,.91850728,.62405097,.46779332
1808,671017.31,1,.650056,.44473833
1809,1299915.8,.82587039,.49105158,.33462933
1810,1485060,.86815566,.48684484,.35647938
1811,905611.44,.90491563,.65917122,.50000757
1812,1019313.3,.91980767,.57435101,.38934317
1813,2028817.1,.67577493,.30643025,.19709854
1814,1132987.9,.8591035,.54890454,.39708972
1901,646188.69,1,.70956993,.52494621
1902,681697.25,.97567898,.69742,.52565968
1903,1515461.5,.8821131,.60256684,.45359644
1904,855746.13,.92664301,.62503183,.46366891
1905,1595349.8,.84930778,.57218403,.41388595
1906,2054866.1,.72989661,.47318646,.3582868
1907,2329237.3,.55555558,.32827964,.23279786
1908,1658298.8,.79425365,.48778445,.33872437
1909,981929.25,.90917277,.60665554,.42909706
1910,1162138.8,.875,.50534302,.33528879
1911,1095061.3,.80000001,.63244563,.51027995
1912,1062679,.91444188,.5866645,.42156085
1913,1554355.1,.8767634,.64329386,.50594205
1914,1379325.8,.90399688,.58667845,.43128496
1915,1778350.9,.84388256,.48200709,.32486227
2001,2808607.3,.3923651,.14016615,.083309971
2002,2827590.8,.5,.15362248,.06868659
2003,2440158.5,.63256669,.25689641,.13588549
2004,3481626.8,.36871955,.13039529,.086000554
2005,3060324.3,.3859041,.1399119,.077086478
2006,2632694.8,.57218236,.23380581,.13658842
2007,2152431.3,.65872604,.32018018,.20160943
2008,2063439.4,.711981,.42197654,.28263259
2009,2387963.5,.57587814,.2763938,.16231745
2010,2719226.5,.45852891,.18158664,.093616553
2011,4153125.8,.40000001,.1366508,.053765032
2012,2683561.8,.50089735,.21523072,.1198722
2013,1823693.6,.64066118,.43522397,.32060784
2014,2966473.3,.63925964,.22690785,.11276856
2015,3150649.8,.57299125,.21607004,.11691827
2016,2017995,.73059231,.3414306,.19989382
2017,2194394.3,.66295516,.33621219,.19186893
2018,1758126.1,.74509722,.33756888,.1923393
2019,3236262.8,.40000001,.16824545,.11765718
2020,2932198,.48317805,.1505723,.073309675
2021,2785148.5,.47953242,.18921249,.077913605
2022,2388480.3,.5990091,.26248133,.15963319
2023,2824617,.51143795,.24078387,.14664944
2024,2691092.8,.55719495,.2460531,.13576329
2025,2418329.5,.61493784,.32352561,.21493971
2026,2063216.9,.71543127,.44610116,.30880329
2027,1931679.4,.74481797,.33734536,.18681149
2028,2299127.5,.64281309,.33261102,.19811486
2029,2962003.5,.57308912,.16557483,.048509724
2101,1158787.8,.87782037,.55084682,.40001619
2102,1020880.3,.92219329,.53637338,.35680622
2103,843797.75,.95095646,.64425093,.47899345
2104,1180884.8,.87519032,.5345208,.380014
2105,1272937.9,.87591535,.54239774,.38589087
2106,1130198.6,1,.49552408,.28961715
2107,1812882.8,.77792871,.39799976,.25313726
2108,2475321.8,.60426551,.21222368,.081451997
2109,853524.44,1,.61901778,.43467078
2110,837069.13,.89345998,.65427005,.52171993
2111,2872773,.71428573,.44716024,.3083078
2112,781843.31,.97174221,.65400022,.46777916
2113,1048901.5,.89175487,.56392378,.40901411
2114,1388149.5,.89999998,.43654934,.26501304
2115,857708,1,.61715311,.4369123
2116,1251335.9,.88011563,.53610122,.37417006
2117,1513436.9,.82894433,.58650339,.45736194
2118,1343989.6,.88806874,.46921209,.29937282
2119,1064959.6,.92999989,.54069686,.36258811
2120,1369868.8,.8361969,.48775688,.32793868
2201,752701.75,.93944168,.66382682,.526842
2202,1043310,1,.53430772,.42717689
2203,1221937.5,.92023242,.55617541,.37868577
2204,1435087.9,.76750165,.4691247,.33160138
2205,2013679.1,.68871766,.35089505,.21605644
2206,1022999,.94009316,.5793128,.42225665
2207,986092.75,.94052911,.55599588,.39038301
2208,1057464.5,.82799727,.5042907,.35756683
2209,997109.88,1,.53242534,.36846039
2210,1794755.5,.74208009,.39385253,.25521103
2211,1426824.3,.8630082,.47210541,.31481147
2212,1440899.5,.80000001,.48397341,.3127135
2213,777062.06,.8888889,.66261959,.5105167
2214,809516.75,.94240463,.64424479,.47250196
2301,1651649.5,.81453073,.43807903,.28669539
2302,792608.25,.93998027,.58521587,.41050869
2303,1543701.5,.80179727,.47531015,.32646748
2304,3374691,.35323963,-.00487233,-.097376004
2305,2362091.3,.59351355,.24571514,.1124827
2306,3445362.3,.36021134,-.021943068,-.1147798
2307,1743731.1,.68599027,.38755724,.26843062
2308,3019737,.44742367,.0034686762,-.097643606
2309,,,,
2310,,,,
2311,,,,
2312,,,,
2313,1764237.6,.7531029,.42007217,.27557507
2314,1476151.5,.69999999,.4163321,.27703634
2315,408239.91,.84779316,.58787656,.49045441
2316,1874580,.63296163,.31900179,.20495191
2317,1175167.8,.83085698,.54094625,.40720657
2318,1757591.9,.80000001,.39342988,.23584001
2319,1569901.5,.74815536,.33718789,.19627608
2320,881122.44,1.0181503,.56704932,.36025637
2321,1325132.9,.77844882,.42049056,.26717955
2401,2225872.5,.65411389,.34802932,.23333032
